Model,Type,Load Capacity,Energy Rating,RPM,Key Features
BOSCH-WM-WAB16060IN,Front Load,6kg,5 Star,1000 RPM,"EcoSilence Drive, ActiveWater Technology"
BOSCH-WM-WAK24168IN,Front Load,7kg,5 Star,1200 RPM,"VarioDrum, Anti-Vibration Side Panels"
BOSCH-WM-WOE702W0IN,Top Load,7kg,4 Star,680 RPM,"PowerWave Wash System, Magic Filter"
BOSCH-WM-WAB20267IN,Front Load,6.5kg,5 Star,1000 RPM,"AllergyPlus, Reload Function"
BOSCH-WM-WAK20166IN,Front Load,6kg,5 Star,1000 RPM,"SpeedPerfect, Super Quick 15"
BOSCH-WM-WOE652D0IN,Top Load,6.5kg,4 Star,700 RPM,"Dual Dispenser, Soft Closing Lid"
BOSCH-WM-WAX28MH4IN,Front Load,9kg,5 Star,1400 RPM,i-DOS Automatic Detergent Dispenser
BOSCH-WM-WOE752H0IN,Top Load,7.5kg,4 Star,720 RPM,"ExpressWash, Child Lock"
BOSCH-WM-WAU28590IN,Front Load,8kg,5 Star,1400 RPM,"Home Connect, AntiStain System"
BOSCH-WM-WOE854W0IN,Top Load,8.5kg,4 Star,750 RPM,"Smart Inverter Motor, Soft Closing Lid"
